home_Gls,Away_Gls,goals_difference,shots_difference,SoT_difference,tackles_difference,touches_difference,xG_difference,home_side_rank,away_side_rank,rolling_points_difference,rolling_points_home_difference,rolling_points_away_difference
2,3,1.2,-1.6,1.8,-1.8,240.2,0.9,2,14,1,2,2.4
0,0,-0.2,-1.6,-0.6,-1,-8.4,-0.1,15,19,0.19999999999999996,0.19999999999999996,0.60000000000000009
0,2,1.2,-1.8,1.2,2.8,-47.2,0,12,7,1.7999999999999998,1.2000000000000002,0.8
0,2,-1.2,-7.2,-3.4,5,-219.2,-1.1,10,1,-1.2,-1.4000000000000001,-1.6
1,1,-1,-3.2,-1,2.2,-95.8,-1,13,5,-0.60000000000000009,-0.20000000000000018,0.19999999999999996
1,5,-0.6,-3.8,-0.6,1.8,-143,-0.4,18,7,-0.20000000000000007,-1.6,-0.60000000000000009
0,0,0.4,2,1,1.8,179.8,-0.5,14,16,0.60000000000000009,-1,0.2
1,1,-1,1.6,-0.2,-5,14.2,-0.3,19,9,-1.4,-0.39999999999999991,-1.2
2,1,-1.2,-5.4,-2.4,5.4,-321.6,-1,7,3,-0.40000000000000013,-2,-1
4,0,1.8,8.8,3.2,-3.6,229.8,1.5,1,15,2,1.4000000000000001,1.4000000000000001
3,1,2.2,-0.8,3,2.4,43,0.6,5,20,1.8,2.2,0
1,2,-0.4,2.2,-1.2,-2.8,-14.2,-0.3,16,11,-1,-0.60000000000000009,-1.4000000000000001
5,0,2,3.6,3.2,4.6,115.6,1,2,12,1.5999999999999999,1.7999999999999998,1.2
1,2,0,-1.4,-0.8,0.4,-182,0.1,9,4,-0.60000000000000009,-1.0000000000000002,-1
1,0,-1.2,-2.2,-0.8,7,-56.8,-0.6,11,7,-0.59999999999999987,-1,0.39999999999999991
2,0,-1.2,-4.4,-3.2,-2,-151.6,-0.1,17,11,-1.7999999999999998,-1,-2
0,1,0,1.4,-0.8,2.2,-172.4,-0.3,14,4,-0.40000000000000013,-0.60000000000000009,-1.6
1,0,0,-1,0.4,-7.2,-99.4,0.2,18,20,0.39999999999999997,0.6,-0.60000000000000009
0,1,-0.2,1.2,0.4,4.4,127.2,-0.6,7,15,0.59999999999999987,-0.79999999999999982,0.8
5,1,1.4,8.6,3.8,-2,93.8,0.8,1,6,1.6,0.79999999999999982,2
4,1,2.4,3,5,5.4,97.4,1,5,13,1.5999999999999999,2,0.4
1,2,0,-1.4,-0.4,0.8,-263.2,0,18,2,0,-1.8,-1.6
1,3,2,1.6,1.2,-6.8,121,0.3,3,7,1,1.2,1.4
1,1,1,4,1.4,1.2,70.4,1,10,16,0.19999999999999996,0,-0.39999999999999991
4,1,1,0,0.2,1.6,164,0.2,6,19,0.39999999999999991,1.2000000000000002,0.19999999999999996
2,3,-1,-1.8,-1.4,-6.6,-32,-1,13,8,-0.79999999999999993,-0.19999999999999996,-0.20000000000000007
0,3,-2,-1.4,-1.4,1.6,-329.2,-0.3,16,3,-1,-0.59999999999999987,-2.1999999999999997
0,0,-0.2,0.8,-0.4,-2.8,275.4,0.1,4,18,1.2,0.8,1.2000000000000002
0,1,1.4,0,0,-7.6,-7.6,0.3,9,7,0,0.39999999999999991,-0.8
1,2,-0.6,0.6,0.6,-0.6,133,-0.9,20,15,-1.2,-0.4,0.60000000000000009
2,1,-1.8,-4.2,-2.4,2.2,63,-1,2,1,-1.8,-0.60000000000000009,-0.8
0,2,-2.8,-5.2,-5.2,0.8,-224.2,-1.5,17,5,-1.4,-1.2000000000000002,-0.19999999999999996
0,2,0.8,2.2,2.2,0,36.2,0.4,12,11,1,0.19999999999999996,1.6
0,2,0.4,0.8,2.4,1.6,70.2,0.4,9,14,0.60000000000000009,-0.40000000000000013,0.19999999999999996
0,1,-2,-7.4,-3.4,5.4,-228.8,-1.8,11,1,-1,-1.4,-1.7999999999999998
1,1,0.6,0.4,0,4.6,-39.4,0.6,15,19,0.19999999999999996,0.39999999999999991,0
0,0,0.2,-3,-0.8,-1.4,-207.6,0.2,16,20,0.8,1.4,-0.60000000000000009
2,1,0.6,4,1.8,-5.6,368.6,0.9,4,18,1,0.20000000000000018,0.60000000000000009
0,2,-0.8,0.6,-2.2,2.4,-63.4,-0.2,14,7,0,0.19999999999999996,-0.59999999999999987
2,0,0.6,-1.2,-1,1.8,-18.8,0.2,8,13,0,0.39999999999999991,0.8
1,2,-0.8,1.4,-0.6,2.4,64,0,8,16,0.40000000000000013,0.19999999999999996,0.8
2,0,0.8,2.2,1,-7.6,185.4,0.6,2,10,0.40000000000000013,1.2,0.19999999999999996
